# m_med xs13
600 10.449069951965605
650 7.603746662624524
700 6.168393053195354
750 5.212271258616831
800 4.160305124706079
850 3.9859622991534867
900 3.897601538137324
950 3.784657160890793
1000 3.7634517788990736
1050 3.3748937366556526
1100 3.477417302536437
1150 3.4010576957256564
1200 3.1192544629645065
1250 3.0926520693979866
