600     10000
600     1
600     -99

2020    -99 
2020    1 
2020    200 
2050    400
2080    600
2120    800
2219    1000

2221    1000
2270    800
2300    600
2350    400
2380    200
2380    1
2380    -99

2530    -99
2530    1
2530    200
2530    400
2570	600
2580    800
2600    1000
2650    1200
