
100   10000
100   5000
100   4000
100   3000
100   2000
100   1000
100  14.6921

102.5   14.6921
107.5   15.1882
112.5   16.0564
117.5   17.2439
122.5   18.4939
127.5   19.8997
132.5   21.4189
137.5   23.0266
142.5   25.0244
147.5   27.1137
152.5   31.1302
156.822 37.125
157.5 37.6392
162.5 41.6137
167.5 45.9328
172.5 50.5202
177.5 55.6954
182.5 60.1931
185.324 61.875
187.5 62.9918
192.5 65.4965
197.5 68.0989
202.5 63.6757
207.5 76.9128
212.5 82.3129
216.162 86.625
217.5  89.5038
222.5 99.6556
227.5 108.948
228.88 111.375
232.5  132.212
233.284 136.125
233.284 160.875
233.284 185.625
233.284 210.375
233.284 235.125
233.284 259.875
233.284 284.625
233.284 309.375
233.284 334.125
233.284 358.875
233.284 383.625
233.284 408.375
233.284 433.125
233.284 457.875
233.284 482.625
233.284 507.375
233.284 532.125
233.284 556.875
233.284 581.625
233.284 606.375
233.284 631.125
233.284 655.875
233.284 680.625
233.284 705.375
233.284 730.125
233.284 754.875
233.284 779.625
233.284 804.375
233.284 829.125
233.284 853.875
233.284 878.625
233.284 903.375
233.284 928.125
233.284 952.875
233.284 977.625

233.284 1000
233.284 2000
233.284 3000
233.284 4000
233.284 5000
233.284 6000
233.284 7000
233.284 10000



