# m_med gq
1800 0.119868
1900 0.139128
2000 0.145801
2100 0.131226
2200 0.0868861
2300 0.067464
2400 0.0796341
2500 0.124891
2600 0.154079
2700 0.180292
2800 0.201529
2900 0.219964
3000 0.237546
3100 0.236203
3200 0.21702
3300 0.207393
3400 0.22854
3500 0.253095
3600 0.289027
3700 0.339474
3800 0.365442
3900 0.38427
4000 0.398474
4100 0.391964
4200 0.383232
4300 0.390189
4400 0.435482
4500 0.53645
4600 0.593554
4700 0.641218
