# mmed gq
# Digitized from https://cds.cern.ch/record/2637847/files/Figure_009.pdf
#1800.3967891024083 	0.12353809654520431
#1899.9923314905222 	0.13134282687785148
#1999.9997355686387 	0.1354797666931975
#2100 	0.1347386076364392
#2200.0005288627226 	0.13554903377109517
#2299.9997355686387 	0.13969376997051236
#2400.002644313613 	0.14578386409026028
#2499.9994711372774 	0.15434187155012402
#2599.9994711372774 	0.16332998660188486
#2699.998148980471 	0.17298370286709397
#2799.9994711372774 	0.18180880757575157
#2900.0005288627226 	0.19175125484875782
#2999.9994711372774 	0.2116503601098682
#3099.9992067059156 	0.2212485887151341
#3199.998677843193 	0.23250878847294082
#3300.0007932940835 	0.2447478372683921
#3400 	0.2589626452641519
#3499.9994711372774 	0.2743363683073072
#3600.001586588168 	0.2896174703860237
#3699.5896303782356 	0.30552042047681
# Real values from Tyler Wang's ROOT file
1800 	0.123345
1900 	0.131205
2000 	0.135401
2100 	0.134549
2200 	0.135505
2300 	0.139451
2400 	0.145631
2500 	0.154224
2600 	0.163174
2700 	0.172711
2800 	0.181881
2900 	0.191602
3000 	0.211431
3100 	0.221153
3200 	0.232386
3300 	0.244729
3400 	0.258867
3500 	0.274441
3600 	0.289455
3700 	0.30549
