# m_med xs13*BR(bb)
# Digitized from figure 6 of ATLAS EXOT-16-033
# Question: why does this not equal figure 7a / 5 ?
603.2577517488126 3.085420693712718
653.0603403817904 2.303859286257827
703.784678629705 1.70283324903474
752.130467269393 0.9669431009554903
803.4230602509354 1.005867265430976
852.8570805403353 0.7276143367809407
900.2459755494508 0.5201775474343159
951.6310311539835 0.5288020968441773
1003.7096304010197 0.6216137831729779
1050.5197833603324 0.7602825439767383
1104.0501422452805 0.7784522130721416
1150.471408951644 0.6695832933103588
1200.8799598416174 0.5815050280812186
1251.88441384422 0.42000865786914343
