# mmed gq
# Digitized from https://cds.cern.ch/record/2637847/files/Figure_009.pdf
#1799.9986778431935 	0.13512160710475202
#1899.9994711372774 	0.12332912632408305
#1999.9994711372774 	0.12848434607158649
#2098.489832495561 	0.13017750541261647
#2199.9997355686387 	0.11705501769378263
#2300 	0.11007792455245907
#2399.9976201177483 	0.14920461761992315
#2500 	0.1775644376106873
#2599.9994711372774 	0.19784548449254336
#2699.2445196007384 	0.21401418333594419
#2799.9997355686387 	0.21969075630317136
#2899.999735568639 	0.22906388311681425
#2999.2447840321 	0.2630415229061364
#3099.9994711372774 	0.23440067906575035
#3199.9994711372774 	0.2058126422841397
#3299.9997355686382 	0.21898777179214823
#3400.000264431361 	0.2418231082530491
#3500.001057725445 	0.2726783544744548
#3599.998942274554 	0.3355249447152756
#3699.998413411832 	0.39259551434067963
# Real values from Tyler Wang's ROOT file
1800	0.135005
1900	0.123218
2000	0.128448
2100	0.130063
2200	0.117076
2300	0.109688
2400	0.149022
2500	0.177421
2600	0.197694
2700	0.213944
2800	0.219628
2900	0.228712
3000	0.26334
3100	0.234785
3200	0.205596
3300	0.218934
3400	0.241685
3500	0.272658
3600	0.335222
3700	0.392633
