# m_med gq_av
# Digitized from https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/CombinedSummaryPlots/EXOTICS/ATLAS_DarkMatterCoupling_Summary/ATLAS_DarkMatterCoupling_Summary.png
599.9999999999997 0.13907730900499632
649.9999999999989 0.14216022288068456
699.9999999999994 0.1443786582205513
749.9999999999993 0.12905783890900954
799.9999999999986 0.16656662439654982
849.9999999999993 0.15093288970419622
899.9999999999989 0.13727894257751155
949.9999999999997 0.1535981761571878
999.999999999998 0.19482362875921785
1049.9999999999993 0.23276660927976053
1099.9999999999986 0.25201338277743496
1149.999999999999 0.2519720510553917
1199.9999999999995 0.25903448970084797
1249.999999999997 0.28622110430202685
