# m_med xs13
599.7649518880203 8.416040652436278
650.127733891646 7.6585906597078335
700.0575979983923 6.691223761678536
749.9874621051387 4.655779971209647
800.0616321775115 5.107625509578944
849.9914962842577 3.9420291819113036
900.0656663566306 3.0199895980675637
950.1398364290034 3.0146524512642423
1000.0697005357497 3.362777429105319
1050.1438706081226 3.936030061941626
1100.0737347148688 3.965602737400202
1150.1479047872417 3.5033935101644844
1200.077768893988 3.135416724584338
1250.1519389663608 2.993887010389471
