# m_med gq_av
# ATLAS resolved dijet + ISR photon
# Digitized from https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/CombinedSummaryPlots/EXOTICS/ATLAS_DarkMatterCoupling_Summary/ATLAS_DarkMatterCoupling_Summary.png
249.9999999999997 0.15094895215842286
299.99999999999983 0.1965690847863311
349.99999999999966 0.237712511774317
399.9999999999997 0.2117423172530734
449.99999999999983 0.21007946045361034
499.99999999999943 0.22234491088111502
549.9999999999992 0.2391991472182311
749.9999999999993 0.22481073809308108
799.9999999999995 0.23982267981554128
950.0329171112963 0.3087634253514131
